"","YEAR","month","LATITUDE","LONGITUDE","SURF.TEMP","BOT.TEMP","BOT.SAL","SURF.CHLOR","BOT.OXY","effort","count","rscpue","BATHYMETRY","RUGOSITY","PLATFORM","PIPELINE","GRAVEL","MUD","ROCK","SAND","CARBON","REEF","PA","logrscpue","rand","Validate"
"4010",1993,6,26.63,-96.95,27.79,26.95,32.98,-0.415515443961666,5.9,58,0,0,39,2.89591193827178,0,0,100,-1.28e-13,0,-3.55e-15,0.567945361,0,0,0,37,"TEST"
"16940",2012,6,28.24,-95.38,28.67,23.05,35.94,-2.30258509299405,5.2,30,0,0,41,2.57261223020711,0,0,5.083373547,53.18548584,0,43.20306015,0.87167418,0,0,0,38,"TEST"
"14839",2009,7,29.55,-93.33,30.93,29.91,32.46,1.31372366828506,3.3,30,0,0,11,1.62924053973028,0,0,0,100,2.42e-14,9.95e-14,0.932581902,0,0,0,39,"TEST"
"7453",1998,6,26.28,-97.07,25.82,22.99,36.46,-1.13943428318836,5.9,21,0,0,19,2.94968833505258,0,0,5,25,1.89e-15,72,0.300000012,0,0,0,40,"TEST"
"5664",1995,7,28.71,-93.55,29.56,25.39,35.72,-0.0512932943875506,4.5,60,4,0.06666667,29,2.31253542384721,0,0,20,25,0,55,0.910879493,0,1,1.6094379524341,41,"TEST"
"21791",2019,6,29.02,-92.12,28.96,26.6,35.01,-0.23572233352107,0.1,30,0,0,19,2.40694510831829,0,0,7.55e-15,67,4.57e-14,33,0.304948121,0,0,0,43,"TEST"
"16240",2011,6,27.29,-82.98,29.45,27.04,36.33,0.425267735404344,6.4,30,0,0,23,2.57261223020711,0,0,1.50505054,1.485148549,5.33e-14,96.50465393,0.5,0,0,0,44,"TEST"
"11266",2004,6,27.05,-97.36,28.28,28.28,35.36,0.343589704390077,6,10,0,0,13,2.57261223020711,0,0,0,13,3.11e-15,87,0.300000012,0,0,0,45,"TEST"
"22196",2021,6,25.34,-82.84,28.03,22.22,36.32,-4.60517018598809,6.7,30,0,0,46,2.57261223020711,0,0,3.55e-15,-7.11e-15,0,100,1.663421154,0,0,0,47,"TEST"
"8215",1999,6,27.31,-96.67,28.94,21.71,36.18,-1.23787435600162,3.8,51,0,0,74,3.37073817417745,0,0,1.11e-14,100,0,1.07e-14,1.027700782,0,0,0,48,"TEST"
"5627",1995,7,28.34,-95.16,29.03,22.38,35.33,-0.82098055206983,4.8,15,7,0.4666667,37,1.80828877117927,0,0,0,49.5,0,50,0.817056179,0,1,3.36729589895199,49,"TEST"
"16455",2011,7,29.53,-87.48,30.07,19.22,36.34,1.12817109090965,4.8,31,0,0,75,3.61361696961339,0,0,100,1.02e-12,30,4.26e-14,0.60139364,0,0,0,50,"TEST"
"17058",2012,7,29.9,-86.15,27.99,26.24,35.84,-2.04022082852655,6.4,30,0,0,41,2.64617479738412,0,0,18.81188202,3.495349646,7.11e-14,76,0.24335666,0,0,0,51,"TEST"
"12752",2006,7,28.43,-90.67,30.44,24.12,36.41,0.431782416425538,2.8,30,2,0.06666667,41,3.04927304048202,0,3.985119013,8.88e-16,93,0,6,0.646555424,0,1,1.6094379524341,52,"TEST"
"20329",2017,7,29.67,-85.48,28.83,27.6,34.83,-1.02165124753198,4.7,30,0,0,15,2.71469474382088,0,0,2.798317432,10.38020325,0.427061409,83.90930939,2.902172804,0,0,0,53,"TEST"
"14362",2009,7,27.92,-83.83,30.76,25.12,36.46,-2.04022082852655,6.6,30,0,0,41,2.09186406167839,0,0,7.11e-15,30,0,69,0.200000003,0,0,0,56,"TEST"
"19525",2016,6,28.6,-95.3,29.65,24.77,35.11,-0.0202027073175195,2.6,30,0,0,26,2.64617479738412,0,6.005248138,2.11e-15,50,0,50,0.672526062,0,0,0,57,"TEST"
"16933",2012,6,28.55,-95.86,29.02,29.02,33.88,0.53062825106217,5.9,31,0,0,15,2.71469474382088,0,0,0,48,0,52,0.5,0,0,0,60,"TEST"
"20200",2017,6,27.77,-95.5,27.94,19.61,36.48,-1.83258146374831,3.5,30,3,0.1,114,3.99083418585244,0,0,0,67,9.91e-14,33,0.991835475,0,1,1.94591014905531,61,"TEST"
"11290",2004,6,28.16,-95.97,28.44,24.33,36.34,0.672944473242426,6,37,0,0,33,2.40694510831829,0,0,4.32937336,61.89117813,2.670961142,32.82967377,0.949751973,0,0,0,62,"TEST"
"6218",1996,6,29.39,-88.9,26.9,21.8,35.13,2.11142458753289,4.8,24,0,0,20,2.89591193827178,0,10.11004,3.82e-14,40.5,100,36.5,1.00884831,2,0,0,63,"TEST"
"2142",1990,7,29.53,-88.57,29.78,22.37,36.58,-2.40794560865187,4.5,27,0,0,44,3.40452517175483,0,0,8.79e-14,82.5,7.11e-14,2,0.613668501,0,0,0,64,"TEST"
"1682",1989,7,27.77,-96.98,28.24,27.21,34.94,-0.400477566597125,5.9,21,0,0,19,2.94968833505258,0,0,0,63.5,0,33,0.349999994,4,0,0,65,"TEST"
"3081",1991,7,29,-89.92,30.25,23.79,36.31,0.85015092936961,3.6,16,0,0,31,3.09557760852371,1,5.816718,1.24e-14,100,1.48e-13,2.84e-14,2.366770744,0,0,0,66,"TEST"
"4683",1994,6,30.14,-88.28,27.31,21.38,35.04,-0.261364764134408,3.6,32,1,0.03125,19,2.94968833505258,1,0,0.770655632,26.05384636,0.302243054,70.41654205,0.602519274,0,1,1.05605267424931,68,"TEST"
"18011",2014,6,28.81,-85.03,27.09,21.74,36.19,-0.579818495252942,7.3,30,0,0,56,2.89591193827178,0,0,18.82979012,10.74763012,0,69.39675903,0.25667882,0,0,0,69,"TEST"
"15751",2010,7,28.01,-94.68,29.62,18.67,36.27,0.672944473242426,4.8,30,0,0,76,3.22286784613774,0,2.46878176,0,67,0,33,0.937072873,0,0,0,70,"TEST"
"8908",2000,7,28.96,-95,28.69,27.68,35.43,-0.653926467406664,5.3,55,0,0,19,2.94968833505258,0,0,2.11e-14,52.5,0,12.5,0.75,0,0,0,71,"TEST"
"13663",2008,6,28.49,-95.78,29.74,24.15,34.86,-0.23572233352107,1.6,44,0,0,20,3.00071981506503,0,0,0,61,0,38,0.800000012,0,0,0,72,"TEST"
"18119",2014,6,25.67,-82.19,29.66,28.73,36.49,-2.65926003693278,6.3,30,0,0,22,1.80828877117927,0,0,0,2,0,98,2.900000095,0,0,0,73,"TEST"
"16791",2012,6,25.37,-81.59,30.03,30.04,36.19,0.871293365943419,6.1,31,0,0,9,1.41098697371026,0,0,25,-1.1e-12,5.4e-13,75,1.012819886,0,0,0,74,"TEST"
"18924",2015,6,27.05,-96.92,28.74,20.21,36.42,-0.798507696217772,4.7,30,4,0.1333333,52,3.09557760852371,0,0,2.492168427,82.84314728,7.336390018,5.573595047,0.993171871,0,1,2.19722435511397,75,"TEST"
"18008",2014,6,29.28,-85.48,28.22,22.18,35.87,-1.07880966137193,7.3,30,0,0,47,3.58629286533884,0,0,9.919011116,11.6916666,0,75.8219223,1.383857369,0,0,0,76,"TEST"
"6323",1996,6,28.41,-95.31,28.78,22.44,35.48,-0.616186139423817,6.1,43,1,0.02325581,34,2.31253542384721,0,0,3.53e-14,50,8.88e-14,50,0.756767452,2,1,0.873528773506942,77,"TEST"
"22541",2021,7,29.21,-94.78,28.78,27.97,32.46,0.841567185678219,1.7,30,0,0,14,2.64617479738412,0,0,0,80,0,13,1,1,0,0,78,"TEST"
"4127",1993,7,28.04,-92.58,29.05,18.43,36.39,0.506817602368452,4.4,20,0,0,109,3.99083418585244,0,0,26.70382118,52.49359512,0,18.3552494,1.041913986,0,0,0,79,"TEST"
"10284",2002,6,28.59,-95.62,28.38,27.27,33.17,0.708035793053696,3.1,25,0,0,18,2.89591193827178,0,0,0,32,5.11e-14,67,0.5,0,0,0,80,"TEST"
"10855",2003,7,28.92,-93.23,28.96,22.99,34.63,2.21046980408624,4.2,14,2,0.1428571,24,1.80828877117927,0,7.765504694,0,-4.33e-13,0,100,0.760884225,0,1,2.2587822016789,81,"TEST"
"19456",2016,6,26.48,-82.66,29.78,25.16,36.11,-1.34707364796661,7.3,30,0,0,25,2.09186406167839,0,0,100,5.36e-13,1.21e-13,4.26e-14,0.388305634,0,0,0,82,"TEST"
"4791",1994,7,29.03,-89.85,30.44,22.6,36.31,-0.798507696217772,2.2,12,0,0,33,3.13983261752775,1,31.72983,1.24e-14,100,1.48e-13,2.84e-14,2.366770744,0,0,0,84,"TEST"
"1680",1989,7,27.59,-96.29,27.93,19.68,36.29,-2.20727491318972,4.7,38,0,0,96,3.69137633431252,0,0,1.33e-15,83,2.89e-14,16,0.906049252,0,0,0,86,"TEST"
"16816",2012,6,26.98,-83.11,27.61,25.39,36.41,-2.20727491318972,6.8,30,0,0,38,2.4932054526027,0,0,0.990099013,10,0,90,0.100000001,0,0,0,87,"TEST"
"10876",2003,7,28.61,-93.58,29.73,21.47,35.39,0.343589704390077,5.4,26,37,1.423077,35,2.64617479738412,0,0,21.27088547,41.18955231,0.984509647,40.05109406,0.934632242,1,1,4.45880965070522,88,"TEST"
"10215",2002,6,26.74,-97.06,28.07,24.36,36.04,-0.261364764134408,4.9,31,0,0,35,2.89591193827178,0,0,9.789624214,51.88615417,4.568124294,36.27560806,0.597164571,0,0,0,90,"TEST"
"16834",2012,6,27.96,-83.71,27.13,26.73,36.02,-0.22314355131421,6.1,30,0,0,37,2.2082744135228,0,0,16.1090374,11.20844078,3.016232729,66.93435669,0.316682726,0,0,0,93,"TEST"
"19512",2016,6,27.94,-96.7,28.68,24.36,33.83,0.438254930931155,0.8,30,3,0.1,23,3.13983261752775,0,3.376046153,4.44e-16,69,0,31,0.75,0,1,1.94591014905531,94,"TEST"
"6283",1996,6,26.94,-97.27,25.45,22.01,36.07,-0.673344553263766,7.8,10,4,0.4,22,3.09557760852371,0,0,4.44e-16,55,0,22.22222137,0.800000012,0,1,3.2188758248682,95,"TEST"
"5605",1995,6,28.35,-96.11,28.8,25.29,33.52,0.0861776962410524,3.3,43,0,0,21,3.04927304048202,1,0.3657619,0,72,3.91e-14,28,0.850000024,0,0,0,96,"TEST"
"18985",2015,6,29.41,-94.12,29.92,27.68,30.17,0.418710334858185,2.8,30,0,0,13,1.62924053973028,0,6.312879246,1.510100961,-5.97e-13,4e-15,76.41918945,0.400000006,0,0,0,97,"TEST"
"2941",1991,6,27.56,-96.71,29.8,22.84,36.42,-0.776528789498996,5.4,45,0,0,49,3.22286784613774,0,3.623136,5.345680714,79.12831879,5.024250984,8.853655815,0.832414925,0,0,0,98,"TEST"
"3812",1992,7,28.12,-91.63,29.95,19.74,36.27,-2.40794560865187,5.3,56,0,0,98,3.37073817417745,0,2.751423,14.61992836,65.92082214,46.01708984,18.47434807,1.179773808,0,0,0,99,"TEST"
"4869",1994,6,27.17,-97.12,26.79,21.1,36.16,-2.81341071676004,5.1,33,0,0,31,2.89591193827178,0,0,1.795004964,74.58380127,2.048612595,14.86568928,0.892288148,0,0,0,100,"TEST"
"21730",2019,6,29.55,-93.85,29.74,26.92,29.35,1.74745921033147,0.1,30,0,0,12,2.4932054526027,0,4.011118602,0,100,4.11e-14,1.21e-13,0.899999976,0,0,0,101,"TEST"
"16436",2011,7,28.71,-92.23,29.87,23.51,35.79,0.207014169384326,4.8,30,0,0,37,2.40694510831829,0,7.884888336,16.20337868,63.79498291,0.17315729,15.36309242,0.690487921,0,0,0,102,"TEST"
"18167",2014,6,26.34,-96.73,27.52,21.18,36.16,-4.60517018598809,6.6,30,1,0.03333333,43,1.62924053973028,0,0,0,50,1.11e-14,50,0.705493689,0,1,1.09861222200144,103,"TEST"
"16385",2011,7,28.03,-93.77,29.92,19.66,36.38,-0.713349887877465,5,30,0,0,86,3.80888224650863,0,0.430052416,0,54.28282928,1.63e-13,43.43434525,0.719213128,1,0,0,105,"TEST"
"16356",2011,7,28.25,-94.75,28.93,21.49,36.06,0.165514438477573,4.5,30,0,0,48,2.31253542384721,0,0,3.33e-15,50,5.31e-14,50,0.875390053,0,0,0,106,"TEST"
"9856",2001,7,28.8,-95.11,29.5,26.02,35.63,0.405465108108164,2.6,59,0,0,20,2.4932054526027,0,1.006255,1.34e-14,56,0,44,0.649999976,0,0,0,107,"TEST"
"2108",1990,7,28.44,-90.13,29.74,20.41,36.72,-0.994252273343867,6.3,57,0,0,65,3.04927304048202,0,0,2.31e-14,100,4.71e-14,-2.13e-14,1.231079221,0,0,0,108,"TEST"
"8340",1999,7,29.27,-92.77,29.62,27.47,32.74,2.18267479632149,3,60,0,0,18,1.62924053973028,0,0,2.95e-14,100,5.55e-15,5.68e-14,0.550000012,0,0,0,109,"TEST"
"8391",1999,7,28.2,-90.87,29.68,20.28,36.31,2.18041745901984,5.1,44,0,0,86,3.66612246699132,0,0,8.226527214,76.37311554,18.45461082,11.70185947,1.114863753,0,0,0,110,"TEST"
"314",1988,6,28.26,-95.91,28.07,27.48,32.82,-1.20397280432594,6.1,19,0,0,27,2.09186406167839,0,0,5.057424068,61.84535217,0.725878179,31.14310455,0.938570917,0,0,0,111,"TEST"
"6400",1996,7,28.74,-92.71,29.81,23.24,35.94,0.904218150639886,4.7,39,3,0.07692308,32,2.09186406167839,0,0,28.96826744,46.35373306,2.074167013,25.73404312,0.795570195,0,1,1.72551011656357,112,"TEST"
"515",1988,7,29.76,-88.64,27.7,23.4,35,-0.478035800943,4.5,19,0,0,21,2.77881927199042,0,0,0,86.5,6.31e-14,13.5,0.292743176,0,0,0,113,"TEST"
"20267",2017,6,28.99,-93.27,28.29,27.08,35.04,-0.891598119283784,5.3,30,0,0,24,1.80828877117927,0,0,0,67,3.83e-14,33,0.772750437,0,0,0,115,"TEST"
"12840",2007,6,28.92,-90.31,28.64,25.93,35.72,-1.27296567581289,1,30,0,0,19,2.83907846350861,1,12.03134441,0,97.5,0,2.5,1.879697919,0,0,0,117,"TEST"
"5569",1995,6,27.36,-96.55,28.86,20.03,36.27,-3.91202300542815,5,55,2,0.03636364,88,3.52929738428947,0,0,8.88e-16,93,0,7,0.983225405,0,1,1.15745285726247,119,"TEST"
"16381",2011,7,28.83,-94.37,30.05,28.5,35.12,-0.562118918153541,6,31,2,0.06451613,24,2.4932054526027,0,0,2.51e-14,50,2.8e-14,41.66666794,0.816048682,0,1,1.58329264425031,121,"TEST"
"19514",2016,6,28.01,-96.24,28.79,24.13,35.69,-0.967584026261706,5,30,6,0.2,39,2.71469474382088,0,0.51933587,9.99e-15,50,8.93e-14,50,0.907461464,0,1,2.56494935746154,122,"TEST"
"2919",1991,6,26.88,-97.24,29.51,26.2,35.19,-0.478035800943,3.3,25,1,0.04,24,3.18221184049661,0,0,0,92.5,3.22e-15,7.5,1,0,1,1.22377543162212,123,"TEST"
"19406",2016,6,26.47,-83.19,28.6,23.7,36.24,-2.52572864430826,7.5,30,1,0.03333333,47,2.40694510831829,0,0,20.73002434,13.63410187,5.405892849,65.78362274,0.671442091,0,1,1.09861222200144,124,"TEST"
"20279",2017,6,28.07,-92.38,27.59,20.5,36.39,-1.07880966137193,4,30,0,0,100,3.55820113047182,0,0,25.33493805,54.50502396,32.53881836,19.41895294,1.067923665,0,0,0,125,"TEST"
"3220",1991,7,28.96,-91.39,31.66,28.66,32.64,2.57031952763613,3.9,30,0,0,9,1.80828877117927,0,2.651487,0,100,0,7.11e-14,2.639855146,1,0,0,126,"TEST"
"18952",2015,6,28.85,-94.21,27.49,27.43,35.76,-0.3147107448397,5.9,30,26,0.8666667,24,2.4932054526027,0,0,50,1.02e-12,0,50,0.77941829,0,1,3.97029195128797,127,"TEST"
"11314",2004,6,28.37,-95,27.73,24.02,35.92,-1.38629436111989,5.5,55,0,0,38,1.80828877117927,0,0,0,50,4.04e-14,50,0.792288065,0,0,0,130,"TEST"
"12577",2006,6,27,-96.75,28.18,23.05,36.58,-1.6094379124341,6.8,52,8,0.1538462,76,3.29953372788566,0,0,0,97.5,30,2.5,1.008788228,0,1,2.32540004143687,131,"TEST"
"16809",2012,6,27.7,-82.92,29.09,28.96,35.91,0.89199803930511,6.4,30,0,0,10,2.31253542384721,0,0,12.30554676,3.651851654,0.065098435,86.94689941,0.55009383,0,0,0,132,"TEST"
"21778",2019,6,28.34,-92.73,29.55,21.73,36.35,-0.59783700075562,4.2,30,3,0.1,54,1.96009478404727,0,7.307485295,0,67,0,33,1.019638181,0,1,1.94591014905531,133,"TEST"
"22599",2021,7,28.63,-91.9,30.13,26.33,36.29,-4.60517018598809,9,30,0,0,38,2.57261223020711,0,0,0,100,5.13e-13,2.84e-14,0.762631536,0,0,0,135,"TEST"
"22273",2021,6,30.06,-88.09,25.25,24.04,35.5,-3.2188758248682,5.7,30,0,0,23,3.04927304048202,0,1.808426675,1.527139187,18.06720543,0.866295278,84.67307281,0.645139098,10,0,0,136,"TEST"
"7945",1998,7,28.54,-90.85,29.68,20.51,35.47,-2.65926003693278,3.1,23,0,0,27,2.64617479738412,0,3.62639,0,100,1.87e-14,-4.97e-14,0.794246018,0,0,0,137,"TEST"
"6819",1997,6,28.47,-90.95,29.96,22.21,36.23,-0.400477566597125,3.2,30,0,0,37,2.94968833505258,0,6.34009,0,100,4.44e-14,-5.68e-14,1.010652184,0,0,0,138,"TEST"
"20913",2018,7,28.6,-93.86,29.96,28.07,35.87,-1.83258146374831,6,30,13,0.4333333,34,2.64617479738412,0,0,18.09152222,40.87817764,4.046599865,40.19252014,0.902223885,0,1,3.29583679193025,139,"TEST"
"10312",2002,6,28.72,-93.61,27.87,27.18,35.87,-1.30933331998376,4.8,10,0,0,28,2.2082744135228,0,3.735256293,20,25,0,55,0.910879493,0,0,0,140,"TEST"
"8129",1999,7,28.67,-90.23,29.61,24.79,35.88,1.83098018238134,1.5,10,11,1.1,40,3.09557760852371,2,0,1,68,0,29,1.670728087,0,1,4.20469261939097,141,"TEST"
"1745",1989,7,29.46,-92.83,29.93,27.11,29.49,-0.356674943938732,1.6,60,0,0,14,2.4932054526027,0,0,0,100,0,7.11e-14,0.899999976,0,0,0,144,"TEST"
"19393",2016,6,27.54,-82.8,28.71,28.5,35.31,-0.673344553263766,6.4,30,0,0,7,1.96009478404727,0,0,3.980197906,-6e-13,1.67e-13,94,0.100000001,0,0,0,145,"TEST"
"14790",2009,6,28.26,-94.49,29.26,22.77,36.27,-0.693147180559945,5.1,30,1,0.03333333,49,2.2082744135228,0,0,50,50,0,-4.26e-14,0.898653746,0,1,1.09861222200144,146,"TEST"
"959",1988,7,28.51,-93.68,28.77,20.48,36.24,-1.66073120682165,5.3,43,1,0.023255814,48,3.09557760852371,0,0,19.96512413,45.14551163,3.466413498,35.36592102,0.922020376,0,1,0.873528873701122,147,"TEST"
"22570",2021,7,28.84,-93.69,29.86,28.67,36.01,-1.10866262452161,4.3,30,2,0.06666667,21,0.741937344729377,0,0,0,2.13e-14,0,100,0.870745659,0,1,1.6094379524341,148,"TEST"
"18360",2014,7,26.81,-83.32,30.13,19.03,36.27,-4.60517018598809,6.5,30,0,0,47,1.96009478404727,0,0,29.01151848,10.29442883,5.928753376,62.06919861,0.716527462,0,0,0,150,"TEST"
"21659",2019,6,26.67,-96.8,28.72,20.61,36.29,-1.04982212449868,5.3,30,3,0.1,57,3.04927304048202,0,0,7.289152622,71.51972961,16.37258339,17.08204079,0.828498185,0,1,1.94591014905531,151,"TEST"
"8890",2000,6,28.01,-95.89,28.85,23.33,36.41,-1.89711998488588,5.2,55,2,0.03636364,49,2.89591193827178,1,9.77563,4.997111797,62.9543457,4.533666611,32.09152603,0.978106976,0,1,1.15745285726247,152,"TEST"
"13597",2008,6,26.11,-97.15,23.82,21.94,35.84,2.006870848845,2.5,10,0,0,12,2.4932054526027,0,0,0,14,0,86,0.400000006,4,0,0,155,"TEST"
"9332",2001,7,28.8,-91.37,30.13,27.66,35.01,-0.083381608939051,2.2,30,0,0,15,2.31253542384721,0,0,1.24e-14,100,7.99e-15,-2.84e-14,1.959697366,0,0,0,156,"TEST"
"13833",2008,7,28.98,-89.56,30.8,20.53,36.46,1.79840401194672,0.9,10,0,0,37,3.61361696961339,0,9.575597837,0,50,0,7.11e-15,1.337296963,0,0,0,158,"TEST"
"16921",2012,6,27.87,-96.13,28.32,20.91,36.39,-2.81341071676004,6.1,31,0,0,61,3.43720781918519,0,3.031609081,3.29e-14,50,0,50,0.94978404,0,0,0,159,"TEST"
"14656",2009,6,29.2,-88.69,26.54,18.75,36.36,2.23001440015921,4.2,30,0,0,74,3.49953328238302,1,13.05212355,0,79,0,21,1.247420907,0,0,0,160,"TEST"
"4569",1993,6,29.84,-88.72,30.1,24.2,33.19,-0.0100503358535015,4.4,30,0,0,14,2.64617479738412,0,0,10,30,3.55e-15,60,0.323717177,0,0,0,161,"TEST"
"7051",1997,7,28.13,-91.57,30.51,18.4,36.29,-0.544727175441672,3.2,56,0,0,100,3.49953328238302,0,7.46884,14.61992836,65.92082214,46.01708984,18.47434807,1.179773808,0,0,0,162,"TEST"
